"qBF1Pd","MW4etd","UY7F9","W4Efsd","UsdlK","lcr4fd href","Jn12ke src","ah5Ghc"
"","","","","","","",""
"","","","","","","",""
"Pimlico Plumbers","4.0","(5,983)","Plumber","020 8108 0808","https://www.google.com/aclk?sa=L&ai=DChsSEwiLt-WLmfOTAxXukIMHHV68KvYYACICCAEQARoCZWY&co=1&ase=2&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3QRk1BIi0llGV6OTunRWHULEy83gM1vbonNIUMYBYyXSbh2L9aivzEaAkqKEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_1FxShh42HlKVpcch__zp12DE5TYw&adurl&q&ctype=99&nis=6","",""
"Studio Disoul","4.8","(4)","Stair contractor","07472 857434","https://www.google.com/aclk?sa=L&ai=DChsSEwiLt-WLmfOTAxXukIMHHV68KvYYACICCAEQABoCZWY&co=1&ase=2&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3SBrrmszab9SL3gXQHoTRTWxq6DBJCmE5ymqwuCMQ2optCbn5IVjgcaAv9zEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_0-aMU6ZqKbqR2WMLxah9pYgq2rCQ&adurl&q&ctype=99&nis=6","",""
"London House Doctor Ltd","4.8","(103)","Construction company","+44 7472 773733","http://londonhousedoctor.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Job executed with professionalism and at competitive price."""
"The Page","5.0","(108)","Bathroom remodeler","+44 7900 330766","https://www.the-page.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Now my bathroom's transformed into a dream come true."""
"Home Renovation London","5.0","(37)","Construction company","+44 20 7477 2883","https://www.londonhomerenovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Home Renovation London Ltd made our house renovation completely stress-free."""
"House Renovation London","5.0","(11)","Construction company","+44 20 3865 7983","https://www.house-renovation.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Our house now feels like a dream home, all thanks to these amazing folks."""
"HFR House Finishing & Remodeling","4.9","(31)","Custom home builder","+44 7520 641679","http://housefinishingremodeling.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was completed on time and the result is truly spectacular."""
"Ecohome Plus Ltd Home renovation services","5.0","(45)","Custom home builder","+44 7722 283220","https://ecohomeplus.co.uk/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""His work was excellent and the price very reasonable."""
"Deluxcore. Bathroom Fitters London","5.0","(104)","Bathroom remodeler","+44 20 8058 7508","https://www.deluxcore.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Felipe and his team did an Amazing job renovating our bathroom and kitchen."""
"Design and build London Renovation Ltd","4.7","(55)","Building firm","+44 20 3372 5366","https://designandbuildlondon.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great communication throughout the project."""
"Maestro Renovation Services London LTD","5.0","(19)","General contractor","+44 20 3968 3917","https://maestro-renovations.com/","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""From start to finish, the entire process was seamless."""
